source,run_number,density,similar_wanted,ticks,population,percent_similar,percent_unhappy,unhappy_count
netlogo,469,80,30,16,2066,72.67468412239306,0,0
netlogo,471,80,30,16,2099,73.66642174871419,0,0
netlogo,472,80,30,12,2070,72.88828337874659,0,0
netlogo,473,80,30,15,2043,73.46399128946959,0,0
netlogo,474,80,30,15,2069,72.6349302607641,0,0
netlogo,475,80,30,16,2029,70.86489898989899,0,0
netlogo,477,80,30,11,2077,73.1981981981982,0,0
netlogo,476,80,30,18,2070,74.13740920096852,0,0
netlogo,478,80,30,21,2085,71.63310961968679,0,0
netlogo,480,80,30,12,2044,73.85285425416083,0,0
netlogo,479,80,30,17,2128,71.5535791134701,0,0
netlogo,481,80,35,21,2071,77.85275153696206,0,0
netlogo,482,80,35,14,2082,77.33057117490382,0,0
netlogo,483,80,35,11,2079,76.96888491886259,0,0
netlogo,484,80,35,12,2073,76.51277454056476,0,0
netlogo,485,80,35,12,2107,78.25583079820369,0,0
netlogo,486,80,35,11,2081,76.21308799525151,0,0
netlogo,487,80,35,11,2078,77.7512318948783,0,0
netlogo,488,80,35,12,2071,77.30263157894737,0,0
netlogo,489,80,35,14,2044,76.13566605279313,0,0
netlogo,490,80,35,15,2081,77.63956759958536,0,0
netlogo,492,80,35,11,2089,75.79646017699116,0,0
netlogo,491,80,35,16,2069,77.35933983495875,0,0
netlogo,493,80,35,14,2082,76.23791821561339,0,0
netlogo,496,80,35,10,2101,75.55425904317387,0,0
netlogo,495,80,35,11,2069,77.81790820165538,0,0
netlogo,494,80,35,14,2092,76.70729916287267,0,0
netlogo,497,80,35,13,2078,77.15948082947934,0,0
netlogo,499,80,35,12,2060,78.19754210286754,0,0
netlogo,498,80,35,13,2037,75.86100386100387,0,0
netlogo,500,80,35,12,2090,76.90718607053269,0,0
netlogo,501,80,35,12,2079,75.85435009700045,0,0
netlogo,502,80,35,12,2082,77.0743972785091,0,0
netlogo,503,80,35,13,2090,77.61435505221355,0,0
netlogo,504,80,35,16,2097,78.53579812206573,0,0
netlogo,506,80,35,12,2079,77.19665271966527,0,0
netlogo,505,80,35,13,2089,76.46885149099498,0,0
netlogo,507,80,35,15,2063,76.84960582171013,0,0
netlogo,508,80,35,13,2094,77.10649502633119,0,0
netlogo,510,80,35,13,2074,75.66681567575621,0,0
netlogo,511,80,40,19,2078,81.5114709851552,0,0
netlogo,509,80,35,23,2106,79.08334549700774,0,0
netlogo,512,80,40,17,2053,80.58387395736794,0,0
netlogo,513,80,40,13,2077,79.44319036869827,0,0
netlogo,514,80,40,14,2093,80.98977626315009,0,0
netlogo,515,80,40,17,2080,81.65370813397129,0,0
netlogo,516,80,40,19,2065,81.77946768060836,0,0
netlogo,517,80,40,20,2090,81.2822402358143,0,0
netlogo,518,80,40,14,2059,80.29007633587786,0,0
netlogo,519,80,40,11,2087,81.30202140309156,0,0
netlogo,520,80,40,13,2101,78.91415994130594,0,0
netlogo,521,80,40,18,2100,80.9405579085731,0,0
netlogo,523,80,40,16,2100,81.51679624468241,0,0
netlogo,522,80,40,22,2104,80.6948109058927,0,0
netlogo,524,80,40,19,2088,81.064209274673,0,0
netlogo,525,80,40,16,2071,79.67737072214685,0,0
netlogo,526,80,40,14,2133,81.2863836433338,0,0
netlogo,528,80,40,13,2061,81.45725585640402,0,0
netlogo,527,80,40,16,2081,80.49217002237137,0,0
netlogo,529,80,40,12,2083,81.26865671641791,0,0
netlogo,530,80,40,16,2110,81.52142232585253,0,0
netlogo,531,80,40,17,2093,81.82355548987734,0,0
netlogo,532,80,40,15,2071,80.83597404557115,0,0
