"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"netlogo/Segregation.nlogox"
"segregation-reference"
"05/23/2026 18:09:07:472 +1000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-25","25"
"[run number]","visualization","density","%-similar-wanted","[step]","ticks","count turtles","percent-similar","percent-unhappy","count turtles with [not happy?]"
"135","old","70","35","13","13","1838","79.6780303030303","0","0"
"137","old","70","35","11","11","1829","79.34761629029144","0","0"
"136","old","70","35","15","15","1842","79.50216858382048","0","0"
"138","old","70","35","12","12","1763","79.32949403537638","0","0"
"139","old","70","35","12","12","1822","80.48211508553655","0","0"
"140","old","70","35","11","11","1856","79.71041395953222","0","0"
"141","old","70","35","16","16","1789","79.85340729001584","0","0"
"142","old","70","35","11","11","1809","77.44830277019118","0","0"
"143","old","70","35","12","12","1825","77.56434882827506","0","0"
"146","old","70","35","13","13","1816","78.86022333461686","0","0"
"144","old","70","35","21","21","1789","80.62153602533651","0","0"
"145","old","70","35","18","18","1848","78.73168922677544","0","0"
"147","old","70","35","15","15","1778","79.87915407854985","0","0"
"151","old","70","40","13","13","1847","79.15396341463415","0","0"
"150","old","70","35","15","15","1810","79.14490230218611","0","0"
"148","old","70","35","18","18","1804","79.48265726043505","0","0"
"149","old","70","35","17","17","1826","78.47980088071989","0","0"
"152","old","70","40","15","15","1840","81.09139477199008","0","0"
"154","old","70","40","13","13","1841","80.72037914691943","0","0"
"153","old","70","40","16","16","1843","80.34671188995665","0","0"
"155","old","70","40","21","21","1881","80.71297989031079","0","0"
"157","old","70","40","15","15","1822","80.72825876428433","0","0"
"158","old","70","40","17","17","1853","81.14125350795136","0","0"
"156","old","70","40","15","15","1812","79.5325083480652","0","0"
"159","old","70","40","10","10","1781","80.00407664084794","0","0"
"160","old","70","40","13","13","1803","80.90312313507062","0","0"
"162","old","70","40","17","17","1797","80.96754927334263","0","0"
"161","old","70","40","18","18","1815","79.8352295017654","0","0"
"163","old","70","40","14","14","1842","79.47269303201506","0","0"
"164","old","70","40","13","13","1806","79.57032027053909","0","0"
"166","old","70","40","10","10","1830","80.84415584415584","0","0"
"165","old","70","40","16","16","1822","81.00428182172051","0","0"
"167","old","70","40","18","18","1833","80.1219744615971","0","0"
"168","old","70","40","16","16","1797","79.1483406637345","0","0"
"169","old","70","40","16","16","1779","80.58847568451165","0","0"
"170","old","70","40","14","14","1842","81.005481005481","0","0"
"171","old","70","40","15","15","1835","80.48734056729488","0","0"
"172","old","70","40","16","16","1791","82.11430855315747","0","0"
"173","old","70","40","18","18","1832","80.1879555044112","0","0"
"175","old","70","40","13","13","1807","80.01970443349754","0","0"
"176","old","70","40","13","13","1822","79.57870099473377","0","0"
"177","old","70","40","10","10","1803","79.83376212151198","0","0"
"179","old","70","40","13","13","1803","79.56131605184447","0","0"
"178","old","70","40","14","14","1823","80.54858025883716","0","0"
"180","old","70","40","14","14","1830","81.1810261374637","0","0"
"174","old","70","40","11","11","1792","79.79295241887318","0","0"
"182","old","70","45","16","16","1830","87.52864782276546","0","0"
"181","old","70","45","18","18","1849","87.46983478745128","0","0"
"183","old","70","45","19","19","1826","88.212927756654","0","0"
"184","old","70","45","18","18","1776","88.35575185705682","0","0"
"185","old","70","45","14","14","1829","87.68378842848959","0","0"
"187","old","70","45","17","17","1781","86.78636271938672","0","0"
"186","old","70","45","23","23","1811","87.79489179177227","0","0"
"188","old","70","45","18","18","1831","86.88681046001146","0","0"
"189","old","70","45","13","13","1847","86.6342193934856","0","0"
"191","old","70","45","14","14","1832","86.707410236822","0","0"
"190","old","70","45","20","20","1814","88.02953750485814","0","0"
"192","old","70","45","21","21","1842","86.9245283018868","0","0"
"193","old","70","45","24","24","1823","88.67924528301887","0","0"
"195","old","70","45","12","12","1815","87.75708187815289","0","0"
"194","old","70","45","21","21","1823","89.3491124260355","0","0"
"196","old","70","45","16","16","1836","88.43897824030275","0","0"
"197","old","70","45","20","20","1810","88.31447522434647","0","0"
"198","old","70","45","16","16","1859","87.09617869669559","0","0"
"200","old","70","45","15","15","1822","88.45714285714286","0","0"
"199","old","70","45","21","21","1828","87.61794723666473","0","0"
"202","old","70","45","18","18","1793","86.4950495049505","0","0"
"201","old","70","45","20","20","1787","87.94580593743774","0","0"
"203","old","70","45","13","13","1822","88.78286270691333","0","0"
"204","old","70","45","16","16","1804","87.5024562782472","0","0"
"207","old","70","45","16","16","1809","87.2670198155778","0","0"
"206","old","70","45","19","19","1830","87.59040730871716","0","0"
"205","old","70","45","19","19","1807","88.9341875364007","0","0"
"208","old","70","45","20","20","1839","86.70694864048339","0","0"
"209","old","70","45","15","15","1830","87.66704849179075","0","0"
"210","old","70","45","17","17","1849","87.81442146450532","0","0"
"211","old","70","50","20","20","1849","88.39436619718309","0","0"
"212","old","70","50","16","16","1832","87.49763212729682","0","0"
"213","old","70","50","16","16","1852","88.55489171023152","0","0"
